id,amount,status,created_at,user_id,money_back_date,transfer_type,send_at
11477,100.0,approved,2020-08-08 11:08:45.975879+00,26215.0,2020-12-14 05:58:31.672528+00,regular,2020-08-15 11:08:45.975458+00
9668,100.0,approved,2020-07-25 09:55:15.493884+00,10916.0,2020-08-04 22:00:00+00,regular,2020-08-01 09:55:15.493412+00
9539,100.0,rejected,2020-07-23 18:34:16.243821+00,,,regular,2020-07-30 18:34:16.243387+00
9470,100.0,approved,2020-07-23 02:42:31.763575+00,30650.0,2020-07-29 22:00:00+00,regular,2020-07-30 02:42:31.763112+00
10798,100.0,approved,2020-08-04 12:29:32.593593+00,6051.0,2020-09-13 22:00:00+00,regular,2020-08-11 12:29:32.593156+00
1174,100.0,approved,2020-04-14 21:34:01.668732+00,2501.0,2020-05-13 20:41:01.052365+00,regular,
7993,100.0,rejected,2020-07-14 13:44:28.579559+00,25873.0,,regular,
3785,50.0,approved,2020-06-17 22:37:50.260747+00,10684.0,2020-07-01 22:58:53.865972+00,regular,
6619,50.0,approved,2020-07-04 19:49:42.751944+00,15040.0,2020-08-31 18:58:27.123683+00,regular,
13045,100.0,rejected,2020-08-19 09:34:16.316027+00,,,instant,2020-08-26 09:34:16.274812+00
2171,100.0,rejected,2020-05-26 03:43:12.162879+00,8882.0,,regular,
5595,100.0,rejected,2020-06-27 11:40:03.570499+00,21080.0,,regular,
6736,100.0,approved,2020-07-06 08:24:44.561722+00,4654.0,2020-07-29 22:00:00+00,regular,
3230,100.0,approved,2020-06-13 09:12:09.831329+00,590.0,2020-06-30 08:51:21.292402+00,regular,
7230,70.0,approved,2020-07-08 20:28:44.737134+00,30344.0,2020-09-01 22:00:00+00,regular,
8248,100.0,approved,2020-07-15 15:34:57.741532+00,22084.0,2020-08-19 16:54:01.661221+00,regular,
3641,100.0,rejected,2020-06-17 13:50:45.065437+00,13292.0,,regular,
12046,100.0,approved,2020-08-11 17:06:48.503714+00,21105.0,2020-09-02 22:00:00+00,instant,2020-08-18 17:06:48.503342+00
9988,50.0,approved,2020-07-29 10:16:40.041709+00,34780.0,,instant,2020-08-05 10:16:40.041281+00
2724,100.0,rejected,2020-06-08 14:51:05.714298+00,,,regular,
5670,100.0,rejected,2020-06-28 11:36:22.883573+00,24116.0,,regular,
5960,100.0,rejected,2020-06-30 12:57:02.374814+00,14098.0,,regular,
14067,100.0,approved,2020-08-29 19:28:44.936403+00,1483.0,2020-10-05 22:00:00+00,regular,2020-09-05 19:28:44.88234+00
9239,100.0,approved,2020-07-21 11:17:20.525911+00,33168.0,2020-08-20 22:00:00+00,regular,2020-07-28 11:17:20.525265+00
3302,100.0,approved,2020-06-14 15:36:54.424879+00,12168.0,2020-07-07 22:00:00+00,regular,
8992,100.0,approved,2020-07-19 21:28:38.926223+00,9342.0,2020-08-06 22:00:00+00,regular,
10714,50.0,approved,2020-08-03 16:30:59.192933+00,32620.0,2020-09-22 21:30:39.831417+00,regular,2020-08-10 16:30:59.192444+00
11675,100.0,approved,2020-08-10 11:34:45.328628+00,4505.0,2020-09-05 19:50:17.511343+00,instant,2020-08-17 11:34:45.328055+00
12900,50.0,approved,2020-08-18 08:24:15.191269+00,17098.0,2020-09-10 04:27:22.558309+00,instant,2020-08-25 08:24:15.147991+00
8730,100.0,approved,2020-07-17 17:30:13.540931+00,9864.0,2020-08-13 22:00:00+00,regular,
7972,20.0,approved,2020-07-14 11:57:24.471474+00,31058.0,2020-07-15 17:08:46.42818+00,regular,
18580,100.0,approved,2020-09-30 14:32:45.005949+00,57289.0,2020-10-18 22:00:00+00,instant,2020-10-07 14:32:44.980958+00
13274,100.0,rejected,2020-08-19 21:33:41.889176+00,10276.0,,instant,2020-08-26 21:33:41.848231+00
12932,100.0,approved,2020-08-18 11:52:41.494228+00,10336.0,2020-11-06 10:05:48.480343+00,instant,2020-08-25 11:52:41.448084+00
13269,100.0,approved,2020-08-19 20:46:21.536889+00,29209.0,2021-02-04 02:40:08.651934+00,instant,2020-08-26 20:46:21.494826+00
8355,100.0,rejected,2020-07-15 22:18:40.867106+00,,,regular,
9870,10.0,rejected,2020-07-28 14:15:03.612662+00,,,instant,2020-08-04 14:15:03.61214+00
11576,50.0,rejected,2020-08-09 17:07:28.753553+00,19129.0,,instant,2020-08-16 17:07:28.752765+00
14754,50.0,approved,2020-09-05 22:16:07.581384+00,21476.0,2020-11-05 23:00:00+00,instant,2020-09-12 22:16:07.523288+00
790,100.0,approved,2020-03-04 06:28:36.236021+00,3226.0,2020-04-25 05:39:34.439152+00,regular,
12004,50.0,approved,2020-08-11 14:36:55.181421+00,27401.0,2020-09-09 10:40:46.7467+00,instant,2020-08-18 14:36:55.181032+00
18025,50.0,rejected,2020-09-26 20:32:13.786061+00,50654.0,,regular,2020-10-03 20:32:13.727651+00
9852,100.0,rejected,2020-07-28 11:32:39.24823+00,28730.0,,instant,2020-08-04 11:32:39.247765+00
14383,50.0,approved,2020-09-03 14:42:27.170055+00,31923.0,2020-09-29 19:53:33.929773+00,instant,2020-09-10 14:42:27.125667+00
12626,100.0,approved,2020-08-15 12:45:32.663816+00,1628.0,2020-11-03 19:32:32.29281+00,instant,2020-08-22 12:45:32.619421+00
14892,100.0,approved,2020-09-07 04:34:10.092087+00,5230.0,2020-12-05 19:52:32.537924+00,instant,2020-09-14 04:34:10.043733+00
47,100.0,approved,2019-12-10 19:29:51.779795+00,83.0,,regular,
14764,100.0,approved,2020-09-06 02:16:06.886168+00,16109.0,2020-10-07 19:51:02.396667+00,instant,2020-09-13 02:16:06.833772+00
15210,100.0,rejected,2020-09-08 20:40:37.204553+00,38729.0,,instant,2020-09-15 20:40:37.176238+00
7909,100.0,approved,2020-07-14 06:51:34.920319+00,17875.0,2020-08-05 22:00:00+00,regular,
9836,100.0,approved,2020-07-28 08:01:50.590816+00,16678.0,2020-10-31 18:54:32.908574+00,instant,2020-08-04 08:01:50.590428+00
2178,31.0,approved,2020-05-26 09:08:43.647198+00,6345.0,2020-06-11 22:36:17.018925+00,regular,
4923,100.0,approved,2020-06-24 07:49:18.790806+00,,2020-07-29 22:00:00+00,regular,
331,100.0,approved,2019-12-28 12:43:52.1083+00,,2020-03-12 23:30:36.947077+00,regular,
10286,50.0,approved,2020-07-31 15:19:10.006043+00,17995.0,2020-10-05 22:00:00+00,regular,2020-08-07 15:19:10.005622+00
7244,100.0,rejected,2020-07-08 21:43:42.046886+00,25475.0,,regular,
7667,100.0,approved,2020-07-12 08:00:50.128952+00,13973.0,2020-08-03 22:00:00+00,regular,
12901,100.0,approved,2020-08-18 08:25:52.520939+00,9304.0,2020-09-01 22:00:00+00,instant,2020-08-25 08:25:52.467768+00
4233,100.0,rejected,2020-06-19 15:47:04.1796+00,19004.0,,regular,
18373,100.0,approved,2020-09-29 09:34:25.483563+00,54375.0,2020-11-05 21:11:23.282697+00,instant,2020-10-06 09:34:25.431382+00
4944,100.0,approved,2020-06-24 10:18:54.758606+00,15625.0,2020-08-30 00:20:27.497743+00,regular,
2122,100.0,approved,2020-05-22 12:47:42.741369+00,8218.0,2020-06-13 06:36:34.188042+00,regular,
1819,100.0,approved,2020-05-15 14:12:50.518219+00,7210.0,2020-06-11 22:58:53.571734+00,regular,
14486,100.0,approved,2020-09-04 08:58:51.754983+00,17421.0,2020-11-04 19:32:32.148434+00,instant,2020-09-11 08:58:51.709723+00
17777,60.0,approved,2020-09-25 08:26:48.297+00,49947.0,2020-10-11 22:00:00+00,instant,2020-10-02 08:26:48.270953+00
142,100.0,approved,2019-12-13 12:50:09.83128+00,257.0,,regular,
12588,50.0,rejected,2020-08-15 07:19:29.898256+00,26037.0,,regular,2020-08-22 07:19:29.856232+00
13896,60.0,rejected,2020-08-26 10:25:34.080692+00,9047.0,,instant,2020-09-02 10:25:34.053096+00
12791,100.0,rejected,2020-08-17 12:41:15.799124+00,9249.0,,regular,2020-08-24 12:41:15.766234+00
1489,100.0,approved,2020-04-30 15:37:48.966869+00,6176.0,2020-06-17 06:45:24.522248+00,regular,
15391,100.0,approved,2020-09-09 15:54:04.099165+00,38985.0,2020-10-06 22:00:00+00,instant,2020-09-16 15:54:04.054847+00
16920,50.0,approved,2020-09-19 19:56:33.84497+00,32407.0,2020-10-09 19:37:20.082255+00,instant,2020-09-26 19:56:33.795818+00
18544,100.0,approved,2020-09-30 10:42:01.967354+00,53166.0,2020-11-05 23:00:00+00,instant,2020-10-07 10:42:01.925946+00
6085,50.0,approved,2020-07-01 08:21:05.726337+00,14771.0,2020-08-05 22:00:00+00,regular,
13483,50.0,rejected,2020-08-21 12:17:35.146259+00,30687.0,,regular,2020-08-28 12:17:35.096301+00
15308,100.0,approved,2020-09-09 10:38:34.107545+00,28848.0,2020-10-12 22:00:00+00,instant,2020-09-16 10:38:34.066574+00
17997,100.0,approved,2020-09-26 15:20:21.202349+00,51919.0,2020-11-05 15:11:37.157464+00,instant,2020-10-03 15:20:21.177804+00
148,100.0,approved,2019-12-13 19:15:49.378472+00,1371.0,,regular,
2564,100.0,rejected,2020-06-04 11:56:17.796565+00,7391.0,,regular,
15030,100.0,rejected,2020-09-07 21:02:56.745713+00,18554.0,,instant,2020-09-14 21:02:56.700182+00
17238,100.0,approved,2020-09-22 10:05:26.468458+00,3309.0,2020-11-28 20:50:19.778632+00,instant,2020-10-06 10:05:26.43396+00
7926,100.0,approved,2020-07-14 08:17:56.674292+00,,2020-09-06 19:48:58.558665+00,regular,
13415,100.0,approved,2020-08-20 18:29:28.630652+00,2323.0,2020-09-14 22:00:00+00,instant,2020-08-27 18:29:28.585185+00
13242,50.0,rejected,2020-08-19 17:52:35.745279+00,,,instant,2020-08-26 17:52:35.699058+00
1075,100.0,approved,2020-04-08 06:33:50.522182+00,5267.0,2020-05-12 20:20:42.331435+00,regular,
657,100.0,rejected,2020-02-10 15:57:34.916879+00,939.0,,regular,
6331,100.0,rejected,2020-07-02 19:06:11.740872+00,25670.0,,regular,
2626,100.0,approved,2020-06-05 22:14:02.088558+00,12454.0,2020-08-12 00:15:29.862929+00,regular,
2899,1.0,approved,2020-06-10 12:47:27.7929+00,3137.0,2020-07-14 15:01:36.809749+00,regular,
5671,70.0,rejected,2020-06-28 11:45:40.966766+00,16046.0,,regular,
15196,100.0,approved,2020-09-08 19:28:11.840714+00,17603.0,2020-10-07 19:53:53.211438+00,instant,2020-09-15 19:28:11.79545+00
6585,100.0,approved,2020-07-04 13:03:22.981679+00,,2020-07-29 22:00:00+00,regular,
2157,100.0,approved,2020-05-25 13:46:13.961857+00,8903.0,2020-06-09 16:27:08.010013+00,regular,
400,100.0,approved,2020-01-07 23:00:24.905913+00,2163.0,2020-06-11 06:55:18.281663+00,regular,
17038,100.0,approved,2020-09-21 07:48:28.766954+00,22233.0,2020-10-17 07:02:59.828746+00,instant,2020-09-28 07:48:28.72373+00
974,100.0,approved,2020-03-22 14:57:59.947705+00,2206.0,2020-04-14 20:26:25.577348+00,regular,
3759,50.0,approved,2020-06-17 20:53:13.135975+00,17144.0,2020-07-07 22:00:00+00,regular,
10919,100.0,approved,2020-08-05 07:41:27.889808+00,28637.0,2020-08-25 22:00:00+00,instant,2020-08-12 07:41:27.889337+00
11034,100.0,approved,2020-08-05 21:12:12.95957+00,7921.0,2020-09-26 19:40:41.980697+00,instant,2020-08-12 21:12:12.958799+00
17661,50.0,rejected,2020-09-24 13:20:14.342278+00,,,instant,2020-10-01 13:20:14.316657+00
2694,100.0,approved,2020-06-07 17:11:30.076917+00,8782.0,2020-07-07 08:05:12.702833+00,regular,
5803,100.0,rejected,2020-06-29 15:46:35.524085+00,,,regular,
5123,100.0,approved,2020-06-25 11:30:47.23354+00,17851.0,2020-07-07 15:58:12.920221+00,regular,
14621,100.0,approved,2020-09-05 06:16:52.577475+00,34457.0,2020-10-10 22:00:00+00,instant,2020-09-12 06:16:52.52827+00
18386,50.0,approved,2020-09-29 10:20:24.550192+00,21582.0,2020-12-21 20:25:48.48536+00,instant,2020-10-06 10:20:24.506855+00
18610,50.0,approved,2020-09-30 21:13:38.409029+00,11704.0,2020-11-09 19:09:34.272385+00,instant,2020-10-07 21:13:38.35936+00
17379,50.0,rejected,2020-09-23 04:21:57.529289+00,,,instant,2020-10-07 04:21:57.497057+00
17652,50.0,approved,2020-09-24 12:25:07.463187+00,48960.0,2020-11-03 19:36:16.673086+00,instant,2020-10-01 12:25:07.435202+00
15748,100.0,approved,2020-09-11 17:33:30.640769+00,34134.0,2020-10-01 19:54:21.196913+00,instant,2020-09-18 17:33:30.590492+00
9724,20.0,approved,2020-07-26 12:19:36.496085+00,30233.0,2020-08-03 22:00:00+00,regular,2020-08-02 12:19:36.495725+00
1598,100.0,approved,2020-05-06 13:29:49.841071+00,8199.0,2020-06-11 06:48:05.360324+00,regular,
3867,100.0,approved,2020-06-18 08:15:43.250286+00,17507.0,2020-07-29 22:00:00+00,regular,
7559,100.0,rejected,2020-07-11 06:01:14.121629+00,,,regular,
3682,100.0,rejected,2020-06-17 16:56:07.966635+00,,,regular,
9778,100.0,rejected,2020-07-27 13:40:57.676837+00,23946.0,,regular,2020-08-03 13:40:57.676417+00
13854,50.0,rejected,2020-08-25 16:08:38.25194+00,11247.0,,instant,2020-09-01 16:08:38.226115+00
16760,100.0,approved,2020-09-18 13:28:57.3558+00,14980.0,2020-10-06 19:44:42.711619+00,instant,2020-09-25 13:28:57.310828+00
3543,100.0,approved,2020-06-16 18:08:01.168469+00,15632.0,2020-07-02 18:40:22.250169+00,regular,
12519,100.0,approved,2020-08-14 15:18:09.282866+00,7162.0,2020-09-14 22:00:00+00,instant,2020-08-21 15:18:09.222285+00
14870,100.0,rejected,2020-09-06 19:52:05.124321+00,7357.0,,regular,2020-09-13 19:52:05.076465+00
15737,100.0,approved,2020-09-11 16:10:17.530649+00,10865.0,2020-10-07 19:56:53.034493+00,instant,2020-09-18 16:10:17.488858+00
10320,100.0,approved,2020-07-31 16:46:27.714401+00,9330.0,2020-08-25 22:00:00+00,regular,2020-08-07 16:46:27.713429+00
14031,100.0,approved,2020-08-29 09:18:54.626212+00,10810.0,2020-10-12 13:13:11.144826+00,instant,2020-09-05 09:18:54+00
368,100.0,approved,2020-01-03 09:14:33.388948+00,,2020-03-31 20:00:58.319239+00,regular,
879,100.0,approved,2020-03-14 23:06:24.067913+00,4376.0,2020-04-07 20:22:25.632499+00,regular,
11802,100.0,approved,2020-08-10 18:59:23.991893+00,5038.0,2020-09-01 22:00:00+00,regular,2020-08-17 18:59:23.991308+00
16556,50.0,approved,2020-09-17 08:30:28.603955+00,33505.0,2020-10-07 19:50:15.422365+00,instant,2020-09-24 08:30:28.560341+00
3987,100.0,approved,2020-06-18 16:33:09.169301+00,10113.0,2020-08-09 22:00:00+00,regular,
9999,100.0,rejected,2020-07-29 11:20:58.919734+00,32972.0,,instant,2020-08-05 11:20:58.919359+00
10114,100.0,rejected,2020-07-30 11:26:15.106086+00,4989.0,,instant,2020-08-06 11:26:15.105722+00
17966,50.0,approved,2020-09-26 10:58:27.215707+00,31992.0,2020-10-30 19:34:26.107044+00,instant,2020-10-03 10:58:27.167984+00
9843,100.0,approved,2020-07-28 09:12:52.81051+00,15642.0,2020-08-18 22:00:00+00,regular,2020-08-04 09:12:52+00
15846,100.0,approved,2020-09-12 11:40:22.631396+00,14238.0,2020-10-07 22:00:00+00,instant,2020-09-19 11:40:22.587193+00
9574,100.0,rejected,2020-07-24 07:55:32.945864+00,22605.0,,regular,2020-07-31 07:55:32.945359+00
17860,100.0,rejected,2020-09-25 16:28:20.51547+00,7184.0,,instant,2020-10-02 16:28:20.491011+00
3315,100.0,approved,2020-06-14 20:16:13.306021+00,8087.0,2020-07-07 15:12:19.732641+00,regular,
4474,100.0,approved,2020-06-21 08:32:39.942005+00,19686.0,2020-07-07 22:00:00+00,regular,
14879,50.0,approved,2020-09-06 21:48:24.519499+00,4076.0,2020-09-24 19:15:28.686825+00,instant,2020-09-13 21:48:24.463687+00
14094,100.0,rejected,2020-08-30 09:32:17.536446+00,,,instant,2020-09-06 09:32:17.506926+00
18191,100.0,approved,2020-09-28 11:47:08.739523+00,50842.0,2020-10-10 19:41:29.859829+00,instant,2020-10-05 11:47:08.714+00
2833,100.0,rejected,2020-06-09 20:54:35.49892+00,8641.0,,regular,
8450,100.0,rejected,2020-07-16 10:28:03.741895+00,,,regular,
2326,100.0,approved,2020-05-29 19:52:12.162136+00,,2020-07-31 02:35:40.0976+00,regular,
6321,50.0,approved,2020-07-02 17:58:38.317643+00,27292.0,2020-08-04 22:00:00+00,regular,
7683,100.0,approved,2020-07-12 12:15:10.740094+00,32036.0,2020-08-18 22:00:00+00,regular,
8875,75.0,rejected,2020-07-18 17:17:56.648601+00,19203.0,,regular,
2855,95.0,approved,2020-06-10 05:23:14.882136+00,425.0,2020-07-03 03:40:43.485126+00,regular,
14375,50.0,approved,2020-09-03 13:47:15.213031+00,,2020-10-06 19:25:33.190029+00,regular,2020-09-10 13:47:15.168153+00
3094,100.0,approved,2020-06-12 05:22:48.399349+00,2197.0,2020-11-24 07:00:43.015083+00,regular,
15524,100.0,rejected,2020-09-10 11:04:30.888302+00,30959.0,,instant,2020-09-17 11:04:30.835664+00
6396,100.0,approved,2020-07-03 06:25:05.002969+00,17846.0,2020-07-30 22:00:00+00,regular,
9630,100.0,approved,2020-07-24 17:21:06.491216+00,30800.0,2020-08-06 22:00:00+00,regular,2020-07-31 17:21:06.490707+00
3114,100.0,rejected,2020-06-12 07:44:07.258558+00,2434.0,,regular,
1816,100.0,approved,2020-05-15 11:36:18.635416+00,6757.0,2020-06-11 21:48:18.75084+00,regular,
1874,100.0,approved,2020-05-15 18:33:42.101138+00,4763.0,2020-07-06 05:23:22.639849+00,regular,
9800,50.0,approved,2020-07-27 19:01:32.043004+00,9022.0,2020-09-09 19:49:18.807136+00,instant,2020-08-03 19:01:32.042569+00
12187,100.0,approved,2020-08-12 12:42:07.678679+00,35714.0,,instant,2020-08-19 12:42:07.678279+00
3371,100.0,approved,2020-06-15 15:01:31.235383+00,13928.0,2020-08-27 22:00:00+00,regular,
3738,100.0,approved,2020-06-17 19:49:03.609955+00,9423.0,2020-07-06 22:00:00+00,regular,
7156,100.0,approved,2020-07-08 13:09:03.923892+00,17641.0,2020-11-05 19:52:59.845547+00,regular,
99,100.0,approved,2019-12-11 17:42:35.36997+00,235.0,,regular,
91,100.0,approved,2019-12-11 10:53:04.860203+00,397.0,,regular,
1869,100.0,approved,2020-05-15 17:44:35.310582+00,952.0,2020-06-30 08:49:30.893856+00,regular,
2966,100.0,approved,2020-06-11 06:06:28.751799+00,4916.0,2020-07-07 22:00:00+00,regular,
6368,100.0,rejected,2020-07-02 23:23:57.333183+00,17407.0,,regular,
16777,100.0,rejected,2020-09-18 15:45:52.335395+00,,,instant,2020-09-25 15:45:52.30252+00
14267,100.0,approved,2020-09-02 10:02:13.432353+00,,2020-10-23 19:30:30.937098+00,instant,2020-09-09 10:02:13.385366+00
18240,100.0,approved,2020-09-28 18:11:49.382892+00,22988.0,2020-11-02 19:39:39.973973+00,instant,2020-10-05 18:11:49.338684+00
2515,100.0,rejected,2020-06-03 11:09:18.901568+00,1715.0,,regular,
6340,50.0,rejected,2020-07-02 20:32:12.396424+00,16011.0,,regular,
8514,100.0,approved,2020-07-16 15:02:09.090886+00,31066.0,2020-08-05 22:00:00+00,regular,
13701,100.0,approved,2020-08-23 20:30:20.655526+00,36404.0,2020-10-07 19:52:23.697816+00,instant,2020-08-30 20:30:20.612765+00
16255,100.0,approved,2020-09-15 14:01:01.300616+00,22174.0,2020-10-10 22:00:00+00,instant,2020-09-22 14:01:01.141961+00
11829,50.0,approved,2020-08-10 22:14:42.7844+00,18403.0,2020-09-04 19:39:48.824067+00,instant,2020-08-17 22:14:42.783921+00
13164,100.0,rejected,2020-08-19 16:29:26.713061+00,,,instant,2020-08-26 16:29:26.609728+00
8812,100.0,rejected,2020-07-18 08:05:21.420552+00,12698.0,,regular,
10141,50.0,rejected,2020-07-30 13:05:20.19926+00,34484.0,,regular,2020-08-06 13:05:20.198732+00
4654,100.0,rejected,2020-06-22 14:02:56.894698+00,20566.0,,regular,
8143,100.0,rejected,2020-07-15 11:29:41.010917+00,30935.0,,regular,
6688,100.0,approved,2020-07-05 17:45:30.171945+00,1424.0,2020-08-12 08:36:46.550696+00,regular,
1090,100.0,rejected,2020-04-08 18:03:10.001617+00,,,regular,
15323,100.0,approved,2020-09-09 11:06:35.760923+00,6755.0,2020-10-02 19:00:21.752157+00,instant,2020-09-16 11:06:35.711268+00
7649,100.0,approved,2020-07-11 20:42:47.500155+00,8090.0,2020-08-04 22:00:00+00,regular,
8074,50.0,rejected,2020-07-15 05:32:58.044621+00,33089.0,,regular,
16073,100.0,approved,2020-09-14 13:34:55.678462+00,41995.0,2020-10-07 19:58:48.216591+00,instant,2020-09-21 13:34:55.633829+00
4881,100.0,approved,2020-06-23 19:56:24.234099+00,14378.0,2020-07-07 15:37:22.862298+00,regular,
8690,100.0,approved,2020-07-17 14:53:04.765054+00,10727.0,2020-08-10 22:00:00+00,regular,
14408,50.0,rejected,2020-09-03 17:47:05.223051+00,35232.0,,instant,2020-09-10 17:47:05.175362+00
13025,50.0,approved,2020-08-19 07:01:16.742244+00,18155.0,2020-12-04 16:06:56.101229+00,instant,2020-08-26 07:01:16.6924+00
15583,100.0,approved,2020-09-10 16:20:07.81052+00,40326.0,,instant,2020-09-17 16:20:07.761608+00
12725,100.0,approved,2020-08-16 17:35:51.074716+00,12189.0,2020-09-09 19:52:34.70917+00,instant,2020-08-23 17:35:51.028195+00
